Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2015;Hombres diputados del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2015;Mujeres diputadas del resto de los partidos políticos en el Congreso de los Diputados;Otros;;;0;Número;
2015;Diputados de Unión Progreso y Democracia en el Congreso de los Diputados;Otros;;;-;Número;
2015;Hombres diputados de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2015;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;7;Número;
2016;Mujeres diputadas de Unión Progreso y Democracia (UPyD) en el Congreso de los Diputados;Otros;;;-;Número;
2016;Mujeres diputadas de Podemos en el Congreso de los Diputados;Otros;;;3;Número;
2016;Diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;6;Número;
2016;Hombres diputados de Ciudadanos en el Congreso de los Diputados;Otros;;;4;Número;
2016;Mujeres diputadas de Ciudadanos en el Congreso de los Diputados;Otros;;;2;Número;
2016;Diputados de Podemos en el Congreso de los Diputados;Otros;;;8;Número;
2016;Hombres diputados de Podemos en el Congreso de los Diputados;Otros;;;5;Número;
2016;Mujeres diputadas de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2016;Diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2016;Hombres diputados de SUMAR en el Congreso de los Diputados;Otros;;;-;Número;
2016;Diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2016;Hombres diputados de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2016;Mujeres diputadas de MÁS PAÍS - EQUO en el Congreso de los Diputados;Otros;;;-;Número;
2016;Diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2016;Hombres diputados de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2016;Mujeres diputadas de Vox en el Congreso de los Diputados;Otros;;;-;Número;
2016;Total diputados en el Congreso de los Diputados;Otros;;;36;Número;
2016;Diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;15;Número;
2016;Hombres diputados del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;9;Número;
2016;Mujeres diputadas  del Partido Popular (PP) en el Congreso de los Diputados;Otros;;;6;Número;
2016;Diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;7;Número;
2016;Hombres diputados del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;4;Número;
2016;Mujeres diputadas del Partido Socialista Obrero Español (PSOE) en el Congreso de los Diputados;Otros;;;3;Número;
2016;Diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2016;Hombres diputados de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;-;Número;
2016;Mujeres diputadas de Izquierda Unida (IU) en el Congreso de los Diputados;Otros;;;0;Número;
2016;Diputados del resto de los partidos en el Congreso de los Diputados;Otros;;;0;Número;
